MentionSourceName,count
dailymail.co.uk,915
reuters.com,258
allafrica.com,240
msn.com,207
wafa.ps,203
business-standard.com,198
yahoo.com,171
princegeorgecitizen.com,157
sputniknews.com,153
washingtonpost.com,137
bangordailynews.com,135
sfgate.com,133
news12.com,123
pressandjournal.co.uk,122
ghanavisions.com,122
mdjonline.com,120
ktvq.com,117
kvor.com,116
wnct.com,115
mb.com.ph,112
time.mk,107
iol.co.za,105
middle-east-online.com,104
kmaj1440.com,104
nbcwashington.com,104
beaumontenterprise.com,103
newsadvance.com,103
bizpacreview.com,102
bigtalk1490.com,102
980waav.com,102
supertalk1570.com,102
wgowam.com,102
missoulian.com,100
greensboro.com,100
kkoh.com,99
ghorbanews.com,98
fox23.com,97
english.wafa.ps,94
businessinsider.com,90
detroitnews.com,90
dawn.com,89
gwdtoday.com,87
thestar.com.my,87
ziuanews.ro,86
chron.com,85
htrnews.com,85
fasopresse.net,82
timescolonist.com,79
tucson.com,78
590kid.com,78
